dataset,line_no,line,resolution_source,action_type,error_category,l1_nearest_distance,confident_action,note
Apache_Apache_2k,1,[Sun Dec 04 04:47:44 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.315056562423706,False,
Apache_Apache_2k,8,[Sun Dec 04 04:51:18 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.318317174911499,False,
Apache_Apache_2k,9,[Sun Dec 04 04:51:18 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.318317174911499,False,
Apache_Apache_2k,10,[Sun Dec 04 04:51:18 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.318317174911499,False,
Apache_Apache_2k,16,[Sun Dec 04 04:51:55 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3269171714782715,False,
Apache_Apache_2k,24,[Sun Dec 04 04:52:15 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3215159177780151,False,
Apache_Apache_2k,25,[Sun Dec 04 04:52:15 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.3352410793304443,False,
Apache_Apache_2k,26,[Sun Dec 04 04:52:15 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.3352410793304443,False,
Apache_Apache_2k,32,[Sun Dec 04 04:52:52 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.3323370218276978,False,
Apache_Apache_2k,33,[Sun Dec 04 04:52:52 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3181246519088745,False,
Apache_Apache_2k,39,[Sun Dec 04 04:53:16 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.3257958889007568,False,
Apache_Apache_2k,40,[Sun Dec 04 04:53:16 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.312479853630066,False,
Apache_Apache_2k,45,[Sun Dec 04 04:53:54 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.328873872756958,False,
Apache_Apache_2k,54,[Sun Dec 04 04:54:18 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.317216396331787,False,
Apache_Apache_2k,55,[Sun Dec 04 04:54:18 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.317216396331787,False,
Apache_Apache_2k,56,[Sun Dec 04 04:54:18 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.3297876119613647,False,
Apache_Apache_2k,57,[Sun Dec 04 04:54:18 2005] [error] mod_jk child workerEnv in error state 7,L1_MISS,,,1.3297876119613647,False,
Apache_Apache_2k,60,[Sun Dec 04 04:54:20 2005] [error] mod_jk child workerEnv in error state 6,L1_MISS,,,1.3187350034713745,False,
