idx,true_cat,pred_cat,true_act,pred_act,cat_correct,act_correct,latency_ms
1,Out_Of_Memory,Memory_Leak,clear_memory,clear_memory,False,True,21677.8
2,Out_Of_Memory,ERROR,clear_memory,ERROR,False,False,30040.1
3,Out_Of_Memory,Memory_Leak,clear_memory,clear_memory,False,True,25247.6
4,Out_Of_Memory,ERROR,clear_memory,ERROR,False,False,30042.8
5,Out_Of_Memory,ERROR,clear_memory,ERROR,False,False,30047.8
6,Memory_Leak,ERROR,restart_service,ERROR,False,False,30039.5
7,Memory_Leak,ERROR,restart_service,ERROR,False,False,30040.6
8,Memory_Leak,ERROR,restart_service,ERROR,False,False,30031.0
9,Memory_Leak,ERROR,restart_service,ERROR,False,False,30032.8
10,Memory_Leak,ERROR,restart_service,ERROR,False,False,30049.6
11,Network_Timeout,ERROR,restart_service,ERROR,False,False,30048.0
12,Network_Timeout,ERROR,restart_service,ERROR,False,False,30027.9
13,Network_Timeout,ERROR,restart_service,ERROR,False,False,30047.6
14,Network_Timeout,ERROR,restart_service,ERROR,False,False,30029.2
15,Network_Timeout,ERROR,restart_service,ERROR,False,False,30036.7
16,DB_Connection,ERROR,restart_service,ERROR,False,False,30028.1
17,DB_Connection,ERROR,restart_service,ERROR,False,False,30036.9
18,DB_Connection,ERROR,restart_service,ERROR,False,False,30043.1
19,DB_Connection,ERROR,restart_service,ERROR,False,False,30060.3
20,DB_Connection,ERROR,restart_service,ERROR,False,False,30028.9
21,Configuration_Error,ERROR,escalate_to_human,ERROR,False,False,30048.2
22,Configuration_Error,Configuration_Error,escalate_to_human,clear_memory,True,False,21647.1
23,Configuration_Error,Memory_Leak,escalate_to_human,clear_memory,False,False,18935.6
24,Configuration_Error,Memory_Leak,escalate_to_human,clear_memory,False,False,20005.2
25,Configuration_Error,Memory_Leak,escalate_to_human,clear_memory,False,False,20237.1
26,Permission_Denied,Permission_Denied,escalate_to_human,escalate_to_human,True,True,19925.6
27,Permission_Denied,Memory_Leak,escalate_to_human,clear_memory,False,False,16610.3
28,Permission_Denied,Memory_Leak,escalate_to_human,restart_service,False,False,17087.4
29,Permission_Denied,Memory_Leak,escalate_to_human,restart_service,False,False,21066.1
30,Permission_Denied,Memory_Leak,escalate_to_human,clear_memory,False,False,21214.5
31,Disk_Full,Disk_Full,free_disk_space,free_disk_space,True,True,19703.0
32,Disk_Full,Memory_Leak,free_disk_space,clear_memory,False,False,18617.3
33,Disk_Full,Memory_Leak,free_disk_space,clear_memory,False,False,20609.6
34,Disk_Full,Memory_Leak,free_disk_space,clear_memory,False,False,23173.9
35,Disk_Full,Disk_Full,free_disk_space,free_disk_space,True,True,19383.4
36,Process_Crash,Memory_Leak,restart_service,restart_service,False,True,19892.1
37,Process_Crash,Memory_Leak,restart_service,restart_service,False,True,17176.4
38,Process_Crash,Memory_Leak,restart_service,clear_memory,False,False,19686.1
39,Process_Crash,Memory_Leak,restart_service,restart_service,False,True,20065.1
40,Process_Crash,Memory_Leak,restart_service,restart_service,False,True,22731.9
41,Port_Conflict,Memory_Leak,restart_service,restart_service,False,True,19886.8
42,Port_Conflict,Memory_Leak,restart_service,restart_service,False,True,18497.0
43,Port_Conflict,Memory_Leak,restart_service,restart_service,False,True,21287.9
44,Port_Conflict,Memory_Leak,restart_service,restart_service,False,True,21127.6
45,Port_Conflict,Memory_Leak,restart_service,restart_service,False,True,21611.8
46,Auth_Error,Memory_Leak,escalate_to_human,clear_memory,False,False,16716.3
47,Auth_Error,Memory_Leak,escalate_to_human,clear_memory,False,False,16683.3
48,Auth_Error,Memory_Leak,escalate_to_human,clear_memory,False,False,19054.1
49,Auth_Error,Memory_Leak,escalate_to_human,clear_memory,False,False,15757.9
50,Auth_Error,Memory_Leak,escalate_to_human,restart_service,False,False,21197.1
