idx,true_cat,pred_cat,true_act,pred_act,cat_correct,act_correct,latency_ms
1,Out_Of_Memory,Out_Of_Memory,clear_memory,clear_memory,True,True,612.6
2,Out_Of_Memory,Out_Of_Memory,clear_memory,clear_memory,True,True,532.0
3,Out_Of_Memory,Out_Of_Memory,clear_memory,clear_memory,True,True,395.1
4,Out_Of_Memory,Out_Of_Memory,clear_memory,clear_memory,True,True,611.1
5,Out_Of_Memory,Out_Of_Memory,clear_memory,clear_memory,True,True,2118.7
6,Memory_Leak,Memory_Leak,restart_service,restart_service,True,True,332.6
7,Memory_Leak,Memory_Leak,restart_service,restart_service,True,True,361.0
8,Memory_Leak,Memory_Leak,restart_service,restart_service,True,True,583.5
9,Memory_Leak,Memory_Leak,restart_service,restart_service,True,True,566.9
10,Memory_Leak,Memory_Leak,restart_service,restart_service,True,True,350.2
11,Network_Timeout,Network_Timeout,restart_service,restart_service,True,True,387.8
12,Network_Timeout,Network_Timeout,restart_service,restart_service,True,True,328.7
13,Network_Timeout,Network_Timeout,restart_service,restart_service,True,True,1279.4
14,Network_Timeout,Network_Timeout,restart_service,restart_service,True,True,366.8
15,Network_Timeout,Network_Timeout,restart_service,restart_service,True,True,542.7
16,DB_Connection,DB_Connection,restart_service,restart_service,True,True,348.9
17,DB_Connection,DB_Connection,restart_service,escalate_to_human,True,False,432.1
18,DB_Connection,DB_Connection,restart_service,restart_service,True,True,350.8
19,DB_Connection,Network_Timeout,restart_service,restart_service,False,True,549.4
20,DB_Connection,DB_Connection,restart_service,restart_service,True,True,413.1
21,Configuration_Error,Configuration_Error,escalate_to_human,escalate_to_human,True,True,456.8
22,Configuration_Error,Configuration_Error,escalate_to_human,escalate_to_human,True,True,605.8
23,Configuration_Error,Configuration_Error,escalate_to_human,escalate_to_human,True,True,380.0
24,Configuration_Error,Configuration_Error,escalate_to_human,escalate_to_human,True,True,277.6
25,Configuration_Error,Configuration_Error,escalate_to_human,escalate_to_human,True,True,297.5
26,Permission_Denied,Permission_Denied,escalate_to_human,escalate_to_human,True,True,359.2
27,Permission_Denied,Permission_Denied,escalate_to_human,escalate_to_human,True,True,627.1
28,Permission_Denied,Permission_Denied,escalate_to_human,escalate_to_human,True,True,338.0
29,Permission_Denied,Permission_Denied,escalate_to_human,escalate_to_human,True,True,401.4
30,Permission_Denied,Permission_Denied,escalate_to_human,escalate_to_human,True,True,560.3
31,Disk_Full,Disk_Full,free_disk_space,free_disk_space,True,True,466.8
32,Disk_Full,Disk_Full,free_disk_space,free_disk_space,True,True,327.3
33,Disk_Full,Disk_Full,free_disk_space,free_disk_space,True,True,367.4
34,Disk_Full,Disk_Full,free_disk_space,free_disk_space,True,True,357.4
35,Disk_Full,Disk_Full,free_disk_space,free_disk_space,True,True,953.9
36,Process_Crash,Process_Crash,restart_service,restart_service,True,True,301.7
37,Process_Crash,Out_Of_Memory,restart_service,clear_memory,False,False,517.0
38,Process_Crash,Process_Crash,restart_service,restart_service,True,True,928.0
39,Process_Crash,Process_Crash,restart_service,restart_service,True,True,421.8
40,Process_Crash,Process_Crash,restart_service,restart_service,True,True,765.4
41,Port_Conflict,Port_Conflict,restart_service,restart_service,True,True,327.7
42,Port_Conflict,Port_Conflict,restart_service,restart_service,True,True,1688.0
43,Port_Conflict,Port_Conflict,restart_service,restart_service,True,True,3870.2
44,Port_Conflict,Port_Conflict,restart_service,restart_service,True,True,1159.7
45,Port_Conflict,Port_Conflict,restart_service,restart_service,True,True,365.8
46,Auth_Error,Auth_Error,escalate_to_human,escalate_to_human,True,True,949.4
47,Auth_Error,Auth_Error,escalate_to_human,escalate_to_human,True,True,1896.9
48,Auth_Error,Permission_Denied,escalate_to_human,escalate_to_human,False,True,455.4
49,Auth_Error,Auth_Error,escalate_to_human,escalate_to_human,True,True,349.0
50,Auth_Error,Permission_Denied,escalate_to_human,escalate_to_human,False,True,392.5
