variant,category,command,format_ok,cmd_valid,aligned,latency_ms
A_current,Auth_Error,systemctl restart nginx,1,1,1,3244.7
B_system_first,Auth_Error,systemctl restart nginx,1,1,1,929.6
C_few_shot_2,Auth_Error,systemctl restart nginx,1,1,1,675.7
A_current,Auth_Error,Error: no space left on device,1,0,0,849.9
B_system_first,Auth_Error,Error: no space left on device,1,0,0,1262.1
C_few_shot_2,Auth_Error,Error: nginx bind() failed,1,0,0,966.1
A_current,Auth_Error,systemctl restart nginx,1,1,1,1089.6
B_system_first,Auth_Error,systemctl restart nginx,1,1,1,1331.7
C_few_shot_2,Auth_Error,systemctl restart nginx,1,1,1,934.1
A_current,Auth_Error,chown -R $USER:$USER /path/to/vault,1,1,0,1154.4
B_system_first,Auth_Error,chown -R $USER /path/to/your/vault,1,1,0,1416.5
C_few_shot_2,Auth_Error,-u,1,0,0,1023.5
A_current,Auth_Error,systemctl restart nginx,1,1,1,1078.7
B_system_first,Auth_Error,systemctl restart nginx,1,1,1,1254.2
C_few_shot_2,Auth_Error,systemctl restart nginx,1,1,1,848.0
A_current,Auth_Error,"mount -o remount,ro /mnt/enterpriseKMIP",1,0,0,1445.4
B_system_first,Auth_Error,"mount -o remount,ro /mnt/enterpriseKMIP",1,0,0,1673.2
C_few_shot_2,Auth_Error,fstrim -f /dev/sda1,1,0,0,1032.6
A_current,Auth_Error,ERROR: empty,0,0,0,1264.5
B_system_first,Auth_Error,vault anonymous enable,1,0,0,1454.8
C_few_shot_2,Auth_Error,ERROR: empty,0,0,0,1085.0
A_current,Auth_Error,systemctl restart nginx,1,1,1,984.9
B_system_first,Auth_Error,systemctl restart nginx,1,1,1,1181.3
C_few_shot_2,Auth_Error,systemctl restart nginx,1,1,1,828.0
A_current,Auth_Error,``,1,0,0,1307.4
B_system_first,Auth_Error,``,1,0,0,1540.7
C_few_shot_2,Auth_Error,ERROR: empty,0,0,0,1131.1
A_current,Auth_Error,systemctl restart nginx,1,1,1,1245.5
B_system_first,Auth_Error,systemctl restart nginx,1,1,1,1384.6
C_few_shot_2,Auth_Error,systemctl restart nginx,1,1,1,1052.4
A_current,Auth_Error,ulimit -n 65536,1,1,0,995.9
B_system_first,Auth_Error,ulimit -n 65536,1,1,0,1256.8
C_few_shot_2,Auth_Error,systemctl restart nginx,1,1,1,737.0
A_current,Auth_Error,"echo ""VAULT_TOKEN=$(vault auth)"" | sudo tee -a ~/.kube/config",1,1,0,1206.9
B_system_first,Auth_Error,systemctl restart nginx,1,1,1,1132.0
C_few_shot_2,Auth_Error,systemctl restart nginx,1,1,1,805.8
A_current,Auth_Error,systemctl restart nginx,1,1,1,1033.5
B_system_first,Auth_Error,systemctl restart nginx,1,1,1,1238.5
C_few_shot_2,Auth_Error,systemctl restart nginx,1,1,1,834.2
A_current,Auth_Error,systemctl restart vault,1,1,1,1130.7
B_system_first,Auth_Error,systemctl restart vault,1,1,1,1647.4
C_few_shot_2,Auth_Error,systemctl restart vault,1,1,1,1113.2
A_current,Auth_Error,ERROR: empty,0,0,0,1382.9
B_system_first,Auth_Error,ERROR: empty,0,0,0,1657.2
C_few_shot_2,Auth_Error,systemctl restart nginx,1,1,1,888.4
A_current,Auth_Error,service rabbitmq-server restart,1,1,0,780.7
B_system_first,Auth_Error,fuser -k /proc/3309/fd 128,1,0,0,1254.2
C_few_shot_2,Auth_Error,fuser -k /proc/3309/fd 80,1,0,0,920.0
A_current,Auth_Error,systemctl restart nginx,1,1,1,833.1
B_system_first,Auth_Error,systemctl restart nginx,1,1,1,1180.2
C_few_shot_2,Auth_Error,docker container prune --force,1,0,0,609.9
A_current,Auth_Error,systemctl restart nginx,1,1,1,1018.2
B_system_first,Auth_Error,systemctl restart nginx,1,1,1,1263.4
C_few_shot_2,Auth_Error,"kill -9 $(pgrep -f ""postgres"")",1,1,0,702.8
A_current,Auth_Error,systemctl restart nginx,1,1,1,745.5
B_system_first,Auth_Error,systemctl restart nginx,1,1,1,1296.3
C_few_shot_2,Auth_Error,ulimit -n 65536,1,1,0,887.4
A_current,Auth_Error,systemctl restart nginx,1,1,1,707.0
B_system_first,Auth_Error,fuser -k /var/run/nginx.pid/tcp,1,0,0,1013.8
C_few_shot_2,Auth_Error,fuser -k /usr/bin/nginx/tcp 80,1,0,0,676.2
A_current,Auth_Error,chown -R root:root /var/lib/vault,1,1,0,1039.7
B_system_first,Auth_Error,chown -R root:root /var/lib/containers/storage,1,1,0,1222.3
C_few_shot_2,Auth_Error,chown -R <username>:<username> /path/to/vault,1,1,0,885.7
A_current,Auth_Error,systemctl restart nginx,1,1,1,825.6
B_system_first,Auth_Error,systemctl restart nginx,1,1,1,962.8
C_few_shot_2,Auth_Error,docker container prune --force,1,0,0,626.0
A_current,Auth_Error,systemctl restart nginx,1,1,1,697.0
B_system_first,Auth_Error,systemctl restart nginx,1,1,1,891.5
C_few_shot_2,Auth_Error,systemctl restart nginx,1,1,1,633.6
A_current,Auth_Error,systemctl restart nginx,1,1,1,743.3
B_system_first,Auth_Error,systemctl restart nginx,1,1,1,940.9
C_few_shot_2,Auth_Error,kill -9 $(lsof -i :80),1,1,0,752.9
A_current,Configuration_Error,systemctl restart nginx,1,1,1,1032.2
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1253.1
C_few_shot_2,Configuration_Error,systemctl restart nginx,1,1,1,879.3
A_current,Configuration_Error,apt-get update && sudo apt-get install -y python3-pip && pip3 install selenium,1,0,0,1004.8
B_system_first,Configuration_Error,apt-get update && sudo apt-get install python3-selenium && sudo service selenium-server-start /etc/selenium/s,1,0,0,1273.2
C_few_shot_2,Configuration_Error,apt-get update && sudo apt-get install python3-selenium && sudo systemctl restart nginx,1,0,0,815.6
A_current,Configuration_Error,systemctl restart nginx,1,1,1,1000.9
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1229.4
C_few_shot_2,Configuration_Error,systemctl restart nginx,1,1,1,823.8
A_current,Configuration_Error,systemctl restart nginx,1,1,1,1037.8
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1286.6
C_few_shot_2,Configuration_Error,systemctl restart nginx,1,1,1,788.9
A_current,Configuration_Error,systemctl restart nginx,1,1,1,1008.6
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1197.6
C_few_shot_2,Configuration_Error,systemctl restart nginx,1,1,1,841.8
A_current,Configuration_Error,docker stop $(docker ps -a -f status=up -f name=postgres) && sudo docker rm $(,1,0,0,1311.9
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,1279.2
C_few_shot_2,Configuration_Error,systemctl restart nginx,1,1,1,823.4
A_current,Configuration_Error,systemctl restart nginx,1,1,1,652.3
B_system_first,Configuration_Error,systemctl restart nginx,1,1,1,862.0
