split,threshold,n_test,f1_cat,act_acc,precision,l1_rate,latency_ms
7:3,0.1,407,0.113,0.963,0.963,0.0663,740.0
7:3,0.2,407,0.254,0.9136,0.8765,0.199,737.9
7:3,0.3,407,0.4058,0.8131,0.7778,0.4865,749.2
7:3,0.4,407,0.4722,0.7539,0.7009,0.7887,911.2
7:3,0.5,407,0.5089,0.7513,0.6974,0.9582,995.0
7:3,0.6,407,0.5142,0.7512,0.6965,0.9877,947.3
7:3,0.7,407,0.5137,0.7488,0.6921,0.9975,852.1
7:3,0.8,407,0.5146,0.7494,0.6929,1.0,816.9
7:3,0.9,407,0.5146,0.7494,0.6929,1.0,819.3
7:3,1.0,407,0.5146,0.7494,0.6929,1.0,858.7
7:3,1.2,407,0.5146,0.7494,0.6929,1.0,878.2
7:3,1.5,407,0.5146,0.7494,0.6929,1.0,1340.0
8:2,0.1,364,0.1032,0.9545,0.9545,0.0604,1576.8
8:2,0.2,364,0.255,0.9054,0.8649,0.2033,1669.8
8:2,0.3,364,0.4058,0.8022,0.7637,0.5,1117.2
8:2,0.4,364,0.4662,0.7415,0.6803,0.8077,834.0
8:2,0.5,364,0.4974,0.733,0.6733,0.967,757.5
8:2,0.6,364,0.5052,0.7368,0.6787,0.9918,751.5
8:2,0.7,364,0.5057,0.7355,0.6777,0.9973,789.3
8:2,0.8,364,0.5067,0.7363,0.6786,1.0,722.5
8:2,0.9,364,0.5067,0.7363,0.6786,1.0,567.8
8:2,1.0,364,0.5067,0.7363,0.6786,1.0,482.6
8:2,1.2,364,0.5067,0.7363,0.6786,1.0,367.1
8:2,1.5,364,0.5067,0.7363,0.6786,1.0,232.2
