threshold,tpr,fpr,precision,recall,f1,action_f1,action_precision,l1_hit_rate,tp,fp,fn,tn,avg_latency_ms
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,141,266,34.208
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,141,266,35.241
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,141,266,36.922
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,141,266,38.416
0.5,0.0,0.0113,0.0,0.0,0.0,0.0,0.0,0.0074,0,3,141,263,38.632
0.6,0.0071,0.015,0.2,0.0071,0.0137,0.0,0.0,0.0123,1,4,140,262,38.242
0.7,0.0567,0.0226,0.5714,0.0567,0.1032,0.0223,0.1429,0.0344,8,6,133,260,38.446
0.8,0.0993,0.0752,0.4118,0.0993,0.16,0.0704,0.2059,0.0835,14,20,127,246,37.867
0.9,0.1915,0.1955,0.3418,0.1915,0.2455,0.1885,0.2911,0.1941,27,52,114,214,38.531
1.0,0.3759,0.3421,0.3681,0.3759,0.3719,0.2783,0.2986,0.3538,53,91,88,175,39.394
1.2,0.8014,0.6579,0.3924,0.8014,0.5268,0.4592,0.3611,0.7076,113,175,28,91,37.981
1.5,0.9787,0.9699,0.3485,0.9787,0.514,0.5597,0.3965,0.973,138,258,3,8,40.167
